Time,v1,v2,v3
2/9/2024 19:00,246.54,239.11,231.15
2/9/2024 19:01,239.51,241.09,244.29
2/9/2024 19:02,246.47,244.73,229.97
2/9/2024 19:03,241.13,243.28,243.09
2/9/2024 19:04,231.62,229.44,234.94
2/9/2024 19:05,246.85,232.54,240.27
2/9/2024 19:06,245.13,229.33,240.7
2/9/2024 19:07,235.79,233.04,243.49
2/9/2024 19:08,241.28,237.39,238.95
2/9/2024 19:09,230.88,239.58,242.78
2/9/2024 19:10,239.89,237.31,239.96
2/9/2024 19:11,233.45,245.66,234.96
2/9/2024 19:12,228.78,242.06,246.36
2/9/2024 19:13,236.32,246.69,231.41
2/9/2024 19:14,229.96,237.84,241.35
2/9/2024 19:15,238.54,233.54,246.34
2/9/2024 19:16,236.95,231.32,234.89
2/9/2024 19:17,240.94,229.06,235.23
2/9/2024 19:18,246.54,239.11,231.15
2/9/2024 19:19,234.82,241.79,231.22
2/9/2024 19:20,239.99,232.41,234.81
2/9/2024 19:21,229.87,238.27,231.52
2/9/2024 19:22,232.55,232.47,233.11
2/9/2024 19:23,242.9,239.95,239.55
2/9/2024 19:24,231.91,233.02,232.94
2/9/2024 19:25,231.51,228.81,239.47
2/9/2024 19:26,238.18,231.38,230.12
2/9/2024 19:27,233.63,230.37,240.98
2/9/2024 19:28,240.22,228.65,233.19
2/9/2024 19:29,238.44,230.53,237.95
2/9/2024 19:30,245.37,230.8,231.51
2/9/2024 19:31,242.45,237.04,233.48
2/9/2024 19:32,240.54,241.43,245.37
2/9/2024 19:33,229.21,235.84,241.82
2/9/2024 19:34,240.82,234.57,237.97
2/9/2024 19:35,243.26,229.28,238.15
2/9/2024 19:36,230,238.12,229.9
2/9/2024 19:37,234.48,233.17,236.81
2/9/2024 19:38,244.88,230.73,246.29
2/9/2024 19:39,228.07,245.3,240.4
2/9/2024 19:40,230.25,235.38,241.69
2/9/2024 19:41,237.27,236.57,232.65
2/9/2024 19:42,239.62,235.2,238.37
2/9/2024 19:43,236.54,228.55,231.32
2/9/2024 19:44,241.89,230.29,245.72
2/9/2024 19:45,236.62,233.98,240
2/9/2024 19:46,234.89,234.36,228.79
2/9/2024 19:47,243.89,242.68,244.44
2/9/2024 19:48,235.99,232.88,242.43
2/9/2024 19:49,244.15,245,232.61
2/9/2024 19:50,240.39,229.31,231.36
2/9/2024 19:51,246.04,236.86,228.16
2/9/2024 19:52,231.36,245.68,238.34
2/9/2024 19:53,245.82,234.92,228.2
2/9/2024 19:54,245.08,231.4,241.72
2/9/2024 19:55,243.05,240.34,239.98
2/9/2024 19:56,238.02,236.56,237.65
2/9/2024 19:57,242.95,243,246.13
2/9/2024 19:58,235.35,235.87,230.41
2/9/2024 19:59,230.53,239.22,239.64
2/9/2024 20:00,243.68,237.21,237.68
2/9/2024 20:01,229.84,246.23,238.62
2/9/2024 20:02,246.01,236.87,229.86
2/9/2024 20:03,245.26,243.42,243.74
2/9/2024 20:04,245.1,246.47,239.92
2/9/2024 20:05,244.07,239.5,232.28
2/9/2024 20:06,239.6,242.89,245.45
2/9/2024 20:07,230.44,228.63,242.39
2/9/2024 20:08,235.04,246.11,231.29
2/9/2024 20:09,243.97,246.27,237.04
2/9/2024 20:10,241.25,236.64,229.81
2/9/2024 20:11,238.36,236.19,243.36
2/9/2024 20:12,233.62,230.14,244.64
2/9/2024 20:13,231.79,230.82,239.28
2/9/2024 20:14,241.7,234.14,229.81
2/9/2024 20:15,229.73,232.7,244.79
2/9/2024 20:16,238.86,232.14,230.9
2/9/2024 20:17,228.91,233.38,233.87
2/9/2024 20:18,239.51,239.39,230.95
2/9/2024 20:19,228.57,229.01,234.14
2/9/2024 20:20,230.66,233.27,239.51
2/9/2024 20:21,235.48,246.91,237.03
2/9/2024 20:22,246.34,233.35,240.93
2/9/2024 20:23,238.09,246.77,233.64
2/9/2024 20:24,229.17,236.86,230.11
2/9/2024 20:25,243.97,232.6,233.51
